name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source,latitude,longitude
Greater Lawrence Family Health Center - Lawrence General Hospital,1 General Street,,"Lamprey Building, 4th floor, Lawrence",MA,1841,(978) 686-3017,,,docx_scraped,42.70975869999999,-71.1507002
Greater Lawrence Family Health Center - Essex Street,700 Essex Street,,Lawrence,MA,1841,(978) 689-2400,,,docx_scraped,42.7018808,-71.1720515
CHP Lee Family Practice,11 Quarry Hill Road,,Lee,MA,1238,(413) 243-0536,,,docx_scraped,42.28167089999999,-73.2530836
Leominster Community Health and Urgent Care Center,165 Mill Street,,Leominster,MA,1453,(978) 410-6111,,,docx_scraped,42.5321021,-71.7476154
Lowell Community Health Center--Metta Health Center,135 Jackson Street,,Lowell,MA,1852,(978) 937-9700,,,docx_scraped,42.6420574,-71.3108671
Lowell Community Health Center,161 Jackson Street,,Lowell,MA,1852,(978) 937-9700,,,docx_scraped,42.6418133,-71.31151849999999
Lynn Community Health Center,269 Union Street,,Lynn,MA,1901,(781) 581-3900,,,docx_scraped,42.4650471,-70.9438909
Lynn Community Health Center  - Market Square Family Health Services at Western Avenue,694 Western Avenue,,Lynn,MA,1905,(781) 595-7348,,,docx_scraped,42.4634837,-70.9641032
Market Square Family Health,29 Market Square,,Lynn,MA,1905,(781) 596-3500,,,docx_scraped,42.4629684,-70.9641999
Lynn Community Health Center - Buffum Street,73 Buffum Street,,"2nd Floor Suite A, Lynn",MA,1901,(781) 691-9486,,,docx_scraped,42.4658384,-70.9449276
Lynn Community Health Center Behavioral Health Center,280 Union Street,,Lynn,MA,1901,(781) 780-4984,,,docx_scraped,42.46496390000001,-70.94324999999999
South Cove Community Health Center - Malden,277 Commercial Street,,Malden,MA,2148,(781) 912-2500,,,docx_scraped,42.4179705,-71.0762365
Island Health Care,245 Vineyard Haven Road,,Martha's Vineyard (Edgartown),MA,2539,(508) 939-9358,,,docx_scraped,41.4539711,-70.5737108
Community Health Center of Cape Cod,107 Commercial Street,,Mashpee,MA,2649,(508) 477-7090,,,docx_scraped,41.6073704,-70.4908473
Harbor Health Services,1135 Morton Street,,Mattapan,MA,2126,(617) 533-2300,,,docx_scraped,42.2756291,-71.0747834
Mattapan Community Health Center,1575 Blue Hill Avenue,,Mattapan,MA,2126,(617) 296-0061,,,docx_scraped,42.2697831,-71.0940152
Edward M. Kennedy Community Health Center - Milford,42 Cape Road,,"Suite 107, Milford",MA,1757,(800) 853-2288,,,docx_scraped,42.1272624,-71.5196292
Greater New Bedford Community Health Center,874 Purchase Street,,New Bedford,MA,2740,(508) 992-6553,,,docx_scraped,41.6362235,-70.9257469
CHP North Adams Family Medicine,71 Hospital Avenue,,North Adams,MA,1247,(413) 664-4088,,,docx_scraped,42.7080089,-73.1100996
Peabody Family Health Center,89 Foster Street,,Peabody,MA,1960,(978) 532-4903,,,docx_scraped,42.5229307,-70.9304605
CHP Berkshire Pediatrics,777 North Street,,Pittsfield,MA,1201,(413) 499-8531,,,docx_scraped,42.4605533,-73.2487712
CHP Neighborhood Health Center,510 North Street,,Pittsfield,MA,1201,(413) 447-2351,,,docx_scraped,42.4555476,-73.2510573
Harbor Community Health Center - Plymouth,10 Cordage Park Circle,,Plymouth,MA,2360,(508) 778-4570,,,docx_scraped,41.9784575,-70.6858724
Provincetown Health Center,49 Harry Kemp Way,,Provincetown,MA,2657,(508) 487-9395,,,docx_scraped,42.0580976,-70.1836273
South Cove Community Health Center - at Quincy,435 Hancock Street,,Quincy,MA,2171,(617) 318-3200,,,docx_scraped,42.2726534,-71.0244634
South Cove Community Health Center- Holmes Street,88 Holmes Street,,Qunicy,MA,2171,(617) 318-3200,,,docx_scraped,42.2724361,-71.0253081
Manet Community Health Center - North Quincy,110 West Squantum Street,,Quincy,MA,2171,(617) 376-3000,,,docx_scraped,42.2726013,-71.03084830000002
Manet Community Health Center - Snug Harbor,9 Bicknell Street,,Quincy,MA,2171,(617) 471-4715,,,docx_scraped,42.2522173,-70.9658639
Manet Community Health Center - Houghs Neck,1193 Sea Street,,Quincy,MA,2169,(617) 471-8683,,,docx_scraped,42.2688116,-70.9525902
Dimock Community Health Center,45 Dimock Street,,Roxbury,MA,2119,(617) 442-8800,,,docx_scraped,42.3202885,-71.0972811
Whittier Street Health Center,1125 Tremont Street,,Roxbury,MA,2120,(617) 427-1000,,,docx_scraped,42.3353473,-71.088117
North Shore Community Health,47 Congress Street,,Salem,MA,1970,(978) 744-8388,,,docx_scraped,42.5176762,-70.8890749
Ellen Jones Community Dental Center,516 Route 134 Suite 12,,South Dennis,MA,2660,(508) 778-5400,,,docx_scraped,41.6945235,-70.1511621
Springfield Adolescent Health Center,11 Wilbraham Road,,Springfield,MA,1109,(413) 794-3710,,,docx_scraped,42.111011,-72.5632757
"Caring Health Center, Richard E. Neal Complex",1049 Main Street,,Springfield,MA,1103,(413) 739-1100,,,docx_scraped,42.09980820000001,-72.58485639999999
Caring Health Center in the South End,1040 Main Street,,Springfield,MA,1103,(413) 739-1100,,,docx_scraped,42.0994018,-72.585224
"Caring Health Center, Forest Park at the ""X""",532 Sumner Avenue,,Springfield,MA,1108,(413) 739-1100,,,docx_scraped,42.0866136,-72.5571298
Springfield Health Services for the Homeless,311 State Street,,Springfield,MA,1103,(413) 750-2067,,,docx_scraped,42.1050276,-72.5812713
Manet Community Health Center - Taunton,1 Washington Street,,Taunton,MA,2780,(508) 822-5500,,,docx_scraped,41.9006623,-71.098632
Charles River Community Health Center - Waltham,43 Foundry Street,,Waltham,MA,2452,(781) 693-3800,,,docx_scraped,42.3705091,-71.2189125
Greater New Bedford Community Health Center - Wareham,127 Marion Road,,Wareham,MA,2571,(774) 678-4673,,,docx_scraped,41.7596904,-70.72883449999999
Wellfleet Health Center,3130 State Highway,,"Route 6, Wellfleet",MA,2667,(508) 349-3131,,,docx_scraped,41.838763,-69.9765396
"Outer Cape Health Services, Inc. - Wellfleet Health Center",3173 State Highway,,"Route 6, Wellfleet",MA,2667,(508) 349-1311,,,docx_scraped,41.8393802,-69.9787328
Holyoke Health Center - Western MA State Hospital,91 East Mountain Road,,Westfield,MA,1085,(413) 420-220,,,docx_scraped,42.1103479,-72.7012184
Worcester Lincoln Street,585 Lincoln Street,,Worcester,MA,1605,(508) 854-2122,,,docx_scraped,42.2963128,-71.7688826
Edward M. Kennedy Community Health Center - 631 Lincoln Street,631 Lincoln Street,,Worcester,MA,1605,(508) 854-3260,,,docx_scraped,42.2975743,-71.7654763
Edward M. Kennedy Community Health Center,19 Tacoma Street,,Worcester,MA,1605,(508) 852-1805,,,docx_scraped,42.3023112,-71.7661296
Edward M. Kennedy Community Health Center - Norwich Street,11 Norwich Street,,Worcester,MA,1608,(800) 853-2288,,,docx_scraped,42.2641176,-71.80069940000001
Family Health Center of Worcester,26 Queen Street,,Worcester,MA,1610,(508) 860-7700,,,docx_scraped,42.2591769,-71.8146751
Family Health Center of Worcester at Webster Square,645 Park Street,,Worcester,MA,1603,(508) 792-7580,,,docx_scraped,42.5977066,-71.9971218
Community HealthLink,72 Jaques Avenue,,Worcester,MA,1603,(508) 792-7580,,,docx_scraped,42.2598298,-71.81450749999999
Community HealthLink-Chandler St,162 Chandler Street,,Worcester,MA,1603,(508) 792-7580,,,docx_scraped,42.2603557,-71.8144753
Community HealthLink-Queen St,12 Queen Street,,Worcester,MA,1603,(508) 792-7580,,,docx_scraped,42.25978250000001,-71.8138
Community HealthLink-Spruce St,40 Spruce Street,,Worcester,MA,1603,(508) 792-7580,,,docx_scraped,42.2832963,-71.7195297
Hilltown Community Health Center/Worthington Health Center,58 Old North Road,,Worthington,MA,1098,(413) 238-5511,,,docx_scraped,41.48161109999999,-71.5222264
