name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source
South Cove Community Health Center- Holmes Street,88 Holmes Street,,Qunicy,MA,02171,(617) 318-3200,,,docx_scraped
Manet Community Health Center - North Quincy,110 West Squantum Street,,Quincy,MA,02171,(617) 376-3000,,,docx_scraped
Manet Community Health Center - Snug Harbor,9 Bicknell Street,,Quincy,MA,02171,(617) 471-4715,,,docx_scraped
Manet Community Health Center - Houghs Neck,1193 Sea Street,,Quincy,MA,02169,(617) 471-8683,,,docx_scraped
Dimock Community Health Center,45 Dimock Street,,Roxbury,MA,02119,(617) 442-8800,,,docx_scraped
Whittier Street Health Center,1125 Tremont Street,,Roxbury,MA,02120,(617) 427-1000,,,docx_scraped
North Shore Community Health,47 Congress Street,,Salem,MA,01970,(978) 744-8388,,,docx_scraped
Ellen Jones Community Dental Center,516 Route 134 Suite 12,,South Dennis,MA,02660,(508) 778-5400,,,docx_scraped
Springfield Adolescent Health Center,11 Wilbraham Road,,Springfield,MA,01109,(413) 794-3710,,,docx_scraped
"Caring Health Center, Richard E. Neal Complex",1049 Main Street,,Springfield,MA,01103,(413) 739-1100,,,docx_scraped
Caring Health Center in the South End,1040 Main Street,,Springfield,MA,01103,(413) 739-1100,,,docx_scraped
"Caring Health Center, Forest Park at the ""X""",532 Sumner Avenue,,Springfield,MA,01108,(413) 739-1100,,,docx_scraped
Springfield Health Services for the Homeless,311 State Street,,Springfield,MA,01103,(413) 750-2067,,,docx_scraped
Manet Community Health Center - Taunton,1 Washington Street,,Taunton,MA,02780,(508) 822-5500,,,docx_scraped
Charles River Community Health Center - Waltham,43 Foundry Street,,Waltham,MA,02452,(781) 693-3800,,,docx_scraped
Greater New Bedford Community Health Center - Wareham,127 Marion Road,,Wareham,MA,02571,(774) 678-4673,,,docx_scraped
Wellfleet Health Center,3130 State Highway,,"Route 6, Wellfleet",MA,02667,(508) 349-3131,,,docx_scraped
"Outer Cape Health Services, Inc. - Wellfleet Health Center",3173 State Highway,,"Route 6, Wellfleet",MA,02667,(508) 349-1311,,,docx_scraped
Holyoke Health Center - Western MA State Hospital,91 East Mountain Road,,Westfield,MA,01085,(413) 420-220,,,docx_scraped
Worcester Lincoln Street,585 Lincoln Street,,Worcester,MA,01605,(508) 854-2122,,,docx_scraped
Edward M. Kennedy Community Health Center - 631 Lincoln Street,631 Lincoln Street,,Worcester,MA,01605,(508) 854-3260,,,docx_scraped
Edward M. Kennedy Community Health Center,19 Tacoma Street,,Worcester,MA,01605,(508) 852-1805,,,docx_scraped
Edward M. Kennedy Community Health Center - Norwich Street,11 Norwich Street,,Worcester,MA,01608,(800) 853-2288,,,docx_scraped
Family Health Center of Worcester,26 Queen Street,,Worcester,MA,01610,(508) 860-7700,,,docx_scraped
Family Health Center of Worcester at Webster Square,645 Park Street,,Worcester,MA,01603,(508) 792-7580,,,docx_scraped
Community HealthLink,72 Jaques Avenue,,Worcester,MA,01603,(508) 792-7580,,,docx_scraped
Community HealthLink-Chandler St,162 Chandler Street,,Worcester,MA,01603,(508) 792-7580,,,docx_scraped
Community HealthLink-Queen St,12 Queen Street,,Worcester,MA,01603,(508) 792-7580,,,docx_scraped
Community HealthLink-Spruce St,40 Spruce Street,,Worcester,MA,01603,(508) 792-7580,,,docx_scraped
Hilltown Community Health Center/Worthington Health Center,58 Old North Road,,Worthington,MA,01098,(413) 238-5511,,,docx_scraped
