name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source,latitude,longitude
Harvard Street Adolescent Child Life Center,895 Blue Hill Avenue,,Boston,MA,2121.0,(617) 822-5510,Primary Care,https://www.harvardstreet.org,,42.2941665,-71.0885429
Harvard Street Neighborhood Health Center,632 Blue Hill Avenue,,Boston,MA,2121.0,(617) 825-3400,"Dental Care, Primary Care",https://www.harvardstreet.org,,42.30249939999999,-71.08510749999999
HealthFirst Family Care Center,387 Quarry Street,,Fall River,MA,2723.0,(508) 679-8111,"Dental Care, Primary Care",https://www.healthfirstfr.org,,41.69356,-71.14028189999999
Holyoke Health Center,230 Maple Street,,Holyoke,MA,1040.0,(413) 420-2200,"Dental Care, Primary Care",https://www.hhcinc.org,,42.2071888,-72.6083931
Massachusetts League of Community Health Centers – ADMIN ONLY SITE,40 Court Street,,Boston,MA,2108.0,(617) 426-2225,Administration Only,,,42.3588496,-71.0592945
Holyoke Health Dental Clinic – Western Massachusetts Hospital,91 East Mountain Road,,Westfield,MA,1085.0,(413) 420-6260,Dental Care,https://www.hhcinc.org,,42.1103479,-72.7012184
Charles River Community Health – Brighton,495 Western Ave,,Brighton,MA,2135.0,(617) 783-0500,"Dental Care, Eye Care, Primary Care",https://www.charlesriverhealth.org/,,42.3621169,-71.1440132
"Greater Lawrence Family Health Center, Inc.",34 Haverhill Street,,Lawrence,MA,1841.0,(978) 686-0090,Primary Care,https://www.glfhc.org,,42.71185819999999,-71.1519933
Harbor Health: Geiger Gibson Community Health Center,250 Mount Vernon Street,,Boston,MA,2125.0,(617) 288-1140,"Dental Care, Primary Care",https://www.hhsi.us,,42.3194686,-71.04611229999999
North Shore Community Health: Gloucester Family Health Center,302 Washington Street,,Gloucester,MA,1930.0,(978) 282-8899,"Dental Care, Primary Care",https://www.nschi.org,,42.6264427,-70.6806269
Edward M Kennedy Community Health Center – Worcester,19 Tacoma Street,,Worcester,MA,1605.0,(508) 852-1805,"Dental Care, Eye Care, Primary Care",https://www.kennedychc.org/,,42.3023112,-71.7661296
Edward M Kennedy Community Health Center – ADMIN ONLY SITE,650 Lincoln Street,,Worcester,MA,1605.0,(800) 853-2288,Administration Only,https://www.kennedychc.org/,,42.2983895,-71.7640542
Haverhill Family Health Center,150 Park Street,,Lawrence,MA,1841.0,(978) 685-1770,Primary Care,https://www.glfhc.org,,42.715907,-71.1662496
Community Health Connections: Greater Gardner Community Health Center,175 Connors Street,,Gardner,MA,1440.0,(978) 878-8100,"Dental Care, Primary Care",https://www.chcfhc.org,,42.5730699,-71.9970809
New Bedford  Community Health,874 Purchase Street,,New Bedford,MA,2740.0,(508) 992-6553,"Dental Care, Eye Care, Primary Care",https://www.gnbchc.org,,41.6362235,-70.9257469
Greater Lawrence Family Health Center – South site,73D Winthrop Avenue (Plaza 114),,Lawrence,MA,1843.0,(978) 686-3017,Primary Care,https://www.glfhc.org,,42.6895562,-71.1507507
Greater Lawrence Family Health Center – West site,700 Essex Street,,Lawrence,MA,1840.0,(978) 689-2400,Primary Care,https://www.glfhc.org,,42.7018808,-71.1720515
Market Square Family Health Services at Western Avenue,694 Western Avenue,,Lynn,MA,1905.0,(781) 595-7348,Primary Care,https://www.lchcnet.org,,42.4634837,-70.9641032
Market Square Family Health Center,29 Market Square,,Lynn,MA,1905.0,(781) 596-3500,Primary Care,https://www.lchcnet.org,,42.4629684,-70.9641999
Manet Community Health Center at Snug Harbor,9 Bicknell Street,,Quincy,MA,2169.0,(617) 471-4715,Primary Care,https://www.manetchc.org,,42.2522173,-70.9658639
Manet Community Health Center at Hull,180 George Washington Blvd,,Hull,MA,2045.0,(781) 925-4550,Primary Care,https://www.manetchc.org,,42.2630668,-70.8605871
Lowell Community Health Center,161 Jackson Street,,Lowell,MA,1852.0,(978) 937-9700,Primary Care,https://www.lchealth.org,,42.6418133,-71.31151849999999
Methuen Family Health Center,70 East St,,Methuen,MA,1844.0,(978) 683-3491,Primary Care,https://www.glfhc.org/,,42.7275251,-71.16796970000001
Lynn Community Health Center,269 Union Street,,Lynn,MA,1901.0,(781) 581-3900,"Dental Care, Primary Care",https://www.lchcnet.org,,42.4650471,-70.9438909
Lynn Community Health Center,280 Union Street,,Lynn,MA,1901.0,(781) 581-3900,Primary Care,https://www.lchcnet.org,,42.46496390000001,-70.94324999999999
Manet Community Health Center,110 West Squantum Street,,Quincy,MA,2171.0,(617) 376-3030,"Eye Care, Primary Care",https://www.manetchc.org,,42.2726013,-71.03084830000002
Manet Community Health Center at Hough’s Neck,1193 Sea Street,,Quincy,MA,2169.0,(617) 471-8683,Primary Care,https://www.manetchc.org,,42.2688116,-70.9525902
Mattapan Community Health Center,1575 Blue Hill Avenue,,Mattapan,MA,2126.0,(617) 296-0061,"Dental Care, Primary Care",https://www.mattapanchc.org,,42.2697831,-71.0940152
MGH Charlestown HealthCare Center,73 High Street,,Charlestown,MA,2129.0,(617) 724-8135,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,,42.3771503,-71.064309
MGH Chelsea HealthCare Center – 100 Everett Ave,100 Everett Avenue,,Chelsea,MA,2150.0,(617) 887-4600,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,,42.3942718,-71.0401211
MGH Chelsea HealthCare Center – 151 Everett Ave,151 Everett Avenue,,Chelsea,MA,2150.0,(617) 884-8300,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,,42.3961678,-71.0389809
MGH Revere HealthCare Center – Ocean Ave,300 Ocean Avenue,,Revere,MA,2151.0,(781) 485-6000,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,,42.4079497,-70.99225059999999
MGH Revere HealthCare Center – Broadway,300 Broadway,,Revere,MA,2151.0,(781) 485-1000,Primary Care,https://www.massgeneral.org/primarycare/locations/default.aspx,,42.4083848,-71.0134899
Harbor Community Health Center – Hyannis,30 Elm Avenue,,Hyannis,MA,2601.0,(508) 778-0300,"Dental Care, Primary Care",https://www.hhsi.us,,41.6552575,-70.2822616
CHP Pittsfield Neighborhood Health Center,510 North Street,,Pittsfield,MA,1201.0,(413) 447-2351,"Eye Care, Primary Care",https://www.chpberkshires.org,,42.4555476,-73.2510573
Harbor Health: Daniel Driscoll – Neponset Health Center,398 Neponset Avenue,,Boston,MA,2122.0,(617) 282-3200,"Eye Care, Primary Care",https://www.hhsi.us,,42.28679500000001,-71.044066
NEW Health -North End,332 Hanover Street,,Boston,MA,2113.0,(617) 643-8000,"Dental Care, Eye Care, Primary Care",https://northendwaterfronthealth.org/,,42.3648007,-71.0537232
North Shore Community Health: Peabody Family Health Center,89 Foster Street,,Peabody,MA,1960.0,(978) 532-4903,"Dental Care, Primary Care",https://www.nschi.org,,42.5229307,-70.9304605
Outer Cape Health Services – Provincetown,49 Harry Kemp Way,,Provincetown,MA,2657.0,(508) 487-9395,"Eye Care, Primary Care",https://www.outercape.org,,42.0580976,-70.1836273
Harbor Health Plymouth,10 Cordage Park Circle,,Plymouth,MA,2360.0,(508) 778-5470,"Dental Care, Primary Care",https://www.hhsi.us,,41.9788845,-70.6880541
North Shore Community Health: Salem Family Health Center,47 Congress Street,,Salem,MA,1970.0,(978) 744-8388,"Dental Care, Primary Care",https://www.nschi.org,,42.5176762,-70.8890749
Sidney Borum Jr. Health Center,142 Berkeley Street,,Boston,MA,2116.0,(617) 457-8140,Primary Care,https://www.sidneyborum.org/,,42.3489118,-71.0720886
South Boston Community Health Center – 409 W Broadway,409 West Broadway,,Boston,MA,2127.0,(617) 269-7500,Primary Care,https://www.sbchc.org,,42.3368405,-71.0482446
South Boston Community Health Center – 386 W Broadway,386 West Broadway,,Boston,MA,2127.0,(617) 269-7500,"Dental Care, Eye Care",https://www.sbchc.org,,42.3376295,-71.0484544
South Cove Community Health Center – Washington St,885 Washington Street,,Boston,MA,2111.0,(617) 482-7555,Primary Care,https://www.scchc.org,,42.3479563,-71.0647414
South Cove Community Health Center – Hancock St,435 Hancock Street,,Quincy,MA,2171.0,(617) 745-0280,"Dental Care, Eye Care, Primary Care",https://www.scchc.org,,42.2726534,-71.0244634
South Cove Community Health Center – South St,145 South Street,,Boston,MA,2111.0,(617) 521-6730,"Dental Care, Eye Care",https://www.scchc.org,,42.3051249,-71.11488059999999
Fenway: South End,142 Berkeley Street,,Boston,MA,2116.0,(617) 247-7555,Primary Care,https://www.fenwayhealth.org,,42.3489118,-71.0720886
NeighborHealth – South End,1601 Washington Street,,Boston,MA,2118.0,(617) 425-2000,"Dental Care, Eye Care, Primary Care",https://www.neighborhealth.com/en/,,42.3383369,-71.0747099
Southern Jamaica Plain Health Center,640 Centre Street,,Jamaica Plain,MA,2130.0,(617) 983-4100,Primary Care,https://www.brighamandwomens.org/sjphc,,42.3133255,-71.1137146
The Family HealthCare Center at SSTAR,400 Stanley Street,,Fall River,MA,2720.0,(508) 675-1054,Primary Care,https://www.sstar.org/site/primaryhealth.asp,,41.7147556,-71.1353118
Community Health Center of Franklin County: Greenfield,102 Main Street,,Greenfield,MA,1301.0,(413) 325-8500,"Dental Care, Primary Care",https://www.chcfc.org,,42.5878394,-72.6054085
Upham’s Corner Health Center – 500 Columbia Rd,500 Columbia Road,,Boston,MA,2125.0,(617) 287-0786,Primary Care,https://uphamscornerhealthcenter.org/,,42.3147533,-71.06765140000002
Upham’s Corner Health Center – 636 Columbia Rd,636 Columbia Road,,Boston,MA,2125.0,(617) 825-9839,"Dental Care, Eye Care",https://uphamscornerhealthcenter.org/,,42.3184597,-71.064123
Upham’s Corner Health Center – 415 Columbia Rd,415 Columbia Road,,Boston,MA,2125.0,(617) 287-8000,Primary Care,https://uphamscornerhealthcenter.org/,,42.3118214,-71.06876129999999
Whittier Street Health Center @Quincy Commons,278 Blue Hill Avenue,,Boston,MA,2119.0,(617) 858-2550,Primary Care,https://www.wshc.org,,42.31474739999999,-71.0784706
CHA Union Square Family Health,26 Central Street,,Somerville,MA,2143.0,(617) 665-3370,Primary Care,https://www.challiance.org/location/primary-care-locations.aspx,,42.3850029,-71.105998
Outer Cape Health Services – Wellfleet,3130 Route 6,,Wellfleet,MA,2667.0,(508) 349-3131,,https://www.outercape.org,,41.9460923,-70.0308347
Whittier Street Health Center,1290 Tremont Street,,Boston,MA,2120.0,(617) 427-1000,"Dental Care, Eye Care, Primary Care",https://www.wshc.org,,42.3327216,-71.0919783
Hilltown: Worthington Health Center,58 Old North Road,,Worthington,MA,1098.0,(413) 238-5511,"Dental Care, Primary Care",https://www.hchcweb.org,,42.4134769,-72.9378212
Springfield Health Services for the Homeless Health Center,"1145 Main St, Suite 208",,Springfield,MA,1103.0,(413) 750-2067,"Dental Care, Primary Care",https://www.springfield-ma.gov/hhs/,,42.100767,-72.58569709999999
Outer Cape- Harwich Port Health Center,710 MA 28,,Harwich,MA,2645.0,(508) 432-1400,Primary Care,https://www.outercape.org/,,41.6706238,-70.0602693
South Cove Community Health Center – Holmes St,88 Holmes Street,,Quincy,MA,2171.0,(617) 318-3200,"Dental Care, Eye Care, Primary Care",https://www.scchc.org,,42.2724361,-71.0253081
Manet Community Health Center,1 Washington Street,,Taunton,MA,2780.0,(508) 822-5500,Primary Care,https://www.manetchc.org/,,41.9006623,-71.098632
Edward M Kennedy Community Health Center- Milford,42 Cape Road,,Milford,MA,1757.0,(800) 853-2288,Primary Care,https://www.edwardmkennedychc.org,,42.1272624,-71.5196292
Community Health Connections: South Gardner Community Health & Urgent Care Center,529 Timpany Boulevard,,South Gardner,MA,1440.0,(978) 878-8100,"Dental Care, Primary Care",https://www.chcfhc.org,,42.5533045,-71.9938657
"Caring Health Center – Richard E. Neal Complex, 1049 Main St Springfield",1049 Main Street,,Springfield,MA,1103.0,(413) 739-1100,"Dental Care, Primary Care",https://www.caringhealth.org,,42.09980820000001,-72.58485639999999
SSTAR South End Services,1010 South Main St,,Fall River,MA,2824.0,(508) 675-1054,Primary Care,https://www.sstar.org/site/primaryhealth.asp,,41.6907377,-71.16515849999999
"Greater Lawrence Family Health Center, Inc. (Methuen)",401 Griffin Brook Road,,Methuen,MA,1844.0,(978) 686-0090,Primary Care,https://www.glfhc.org,,42.691271,-71.236235
NEW Health – Charlestown,15 Tufts Street,,Boston,MA,2129.0,(857) 238-1100,"Dental Care, Eye Care, Primary Care",https://newhealthcharlestown.org/,,42.3778685,-71.05678759999999
Holyoke Health Dental Clinic – Holyoke Soldiers’ Home,110 Cherry Street,,Westfield,MA,1040.0,(413) 420-6270,Dental Care,https://www.hhcinc.org,,42.1209261,-72.7448094
Brockton Neighborhood Health Center,160 Pleasant St,,Brockton,MA,2301.0,(508) 559-6699,Primary Care,https://www.bnhc.org,,42.0851166,-71.0245781
Community Health Center of Franklin County: Orange,119 New Athol Rd,,Orange,MA,1364.0,(413) 325-8500,"Dental Care, Primary Care",https://www.chcfc.org,,42.5846563,-72.2637326
Community Health Center of Cape Cod – Centerville,1185B Falmouth Road,,Centerville,MA,2632.0,(508) 759-7920,Primary Care,https://www.chcofcapecod.org,,41.6578546,-70.3301638
Harbor Health Services Inc – ADMIN ONLY SITE,1135 Morton Street,,Mattapan,MA,2126.0,(617) 533-2400,Administration Only,https://www.hhsi.us,,42.2756291,-71.0747834
NeighorHealth – Winthrop,17 Main Street,,Winthrop,MA,2152.0,(617) 568-4840,Primary Care,https://www.neighborhealth.com/en/,,42.3822307,-70.9932228
South Boston Health/Seaport,"505 Congress Street, Street Level",,Boston,MA,2210.0,(617) 269-7500,Primary Care,https://www.sbchc.org,,42.3481881,-71.0414873
Hilltown: John P. Musante Health Center,70 Boltwood Walk,,Amherst,MA,1002.0,(413) 238-5511,Primary Care,https://www.hchcweb.org/,,42.3769044,-72.5183937
Outer Cape Health Services – ADMIN ONLY SITE,710 Main Street,,Harwich Port,MA,2646.0,(508) 905-2800,Administration Only,https://outercape.org/,,41.6704758,-70.0602325
CHP Pittsfield Neighborhood Dental Center,"510 North Street, Suite 2",,Pittsfield,MA,1201.0,(413) 447-2781,Dental Care,https://www.chpberkshires.org,,42.4555476,-73.2510573
CHP Berkshire Pediatrics,"777 North Street, Suite 305",,Pittsfield,MA,1201.0,(413) 499-8531,Primary Care,https://www.chpberkshires.org,,42.460582,-73.248757
South Cove Community Health Center – Malden,227 Commercial Street,,Malden,MA,2148.0,(781) 912-2500,"Eye Care, Primary Care",https://www.scchc.org,,42.4195818,-71.07613119999999
CHP Barrington OB/GYN,"East Mountain Medical Building, 780 South Main Street",,Great Barrington,MA,1230.0,(413) 528-1470,Primary Care,https://www.chpberkshires.org,,42.1781658,-73.3630408
Manet Community Health Center at Attleboro,8 North Main St,,Attleboro,MA,2703.0,(508) 205-4600,Primary Care,https://www.manetchc.org,,41.9445632,-71.2844506
Lowell Community Health Center- Dental & Eye Care,101 Jackson Street,,Lowell,MA,1852.0,(978) 937-9700,"Dental Care, Eye Care",https://www.lchealth.org,,42.6421647,-71.3105985
CHP Administration Office,444 Stockbridge Road,,Great Barrington,MA,1230.0,(413) 528-9311,Administration Only,https://www.chpberkshires.org,,42.2194127,-73.3426899
Haverhill Family Health Center,755 Main Street,,Haverhill,MA,1830.0,(978) 686-0090,Primary Care,https://glfhc.org/,,42.79762960000001,-71.0876359
CHP Great Barrington Family Services,442 Stockbridge Road,,Great Barrington,MA,1230.0,(413) 528-0457,,https://www.chpberkshires.org,,42.2177173,-73.34301339999999
Fenway Health: Prevention Clinic,359 Green St.,,Cambridge,MA  6172670900,2139.0,0213961726,,https://fenwayhealth.org/aac/programs-services/access/,,42.3657252,-71.1056282
Community Health Center of Franklin County: Turners Falls,8 Burnham St,,Turner Falls,MA,1376.0,(413)413-8500,Primary Care,https://www.chcfc.org/turners-falls,,42.5893039,-72.5741875
"Caring Health Center – 473 Sumner Ave, Springfield",473 Sumner Ave,,Springfield,MA,1108.0,(413) 739-1100,,https://www.caringhealth.org,,42.08556799999999,-72.5588396
CHP Adams Family Services,19 Depot St.,,Adams,MA,1220.0,(413) 528-9311,,https://chpberkshires.org/locations/adams-family-services/,,42.6236477,-73.1184595
CHP Adams Family Medicine,19 Depot St.,,Adams,MA,1220.0,(413) 664-4088,Primary Care,https://chpberkshires.org/locations/adams-family-medicine/,,42.6236477,-73.1184595
CHA One Cabot Care Center,1 Cabot Rd,,Medford,MA  617-591-6840,2155.0,617-591-6840,Primary Care,https://www.challiance.org/locations/medford/cha-one-cabot-care-center,,42.4059586,-71.075138
Athol Memorial Hospital,2033 Main Street,,,,,(978) 249-3511,Hospital Services,,official_document,32.7829197,-96.7885009
Sturdy Memorial Hospital,211 Park Street,,Attleboro,MA,2703.0,(508) 222-5200,Hospital Services,,official_document,41.9422653,-71.2756864
Beverly Hospital,85 Herrick Street,,Beverly,MA,1915.0,(978) 922-3000,Hospital Services,,official_document,42.5644942,-70.87584030000001
Beth Israel Deaconess Medical Center,,,,,,(617) 667-7000,,,official_document,,
Brigham and Women's Hospital,75 Francis Street,,Boston,MA,2115.0,(617) 732-5500,Hospital Services,,official_document,42.336061,-71.1071584
Massachusetts General Hospital,55 Fruit Street,,Boston,MA,2114.0,(617) 726-2000,Hospital Services,,official_document,42.3626793,-71.06855139999999
Boston Children's Hospital,300 Longwood Avenue,,Boston,MA,2115.0,(617) 355-6000,Hospital Services,,official_document,42.3373301,-71.1061373
Boston Medical Center,1 Boston Medical Center Place,,Boston,MA,2118.0,(617) 638-8000,,,official_document,42.3355661,-71.0724101
Dana Farber Cancer Institute,44 Binney Street,,Boston,MA,2115.0,(617) 632-3000,,,official_document,42.337739,-71.1072514
Massachusetts Eye and Ear Infirmary,243 Charles Street,,Boston,MA,2114.0,(617) 523-7900,Eye Care,,official_document,42.3627964,-71.0701368
Shriner's Hospital for Children Boston,51 Blossom Street,,Boston,MA,1608.0,(978) 578-9078,Hospital Services,,official_document,42.3630268,-71.0665836
Tufts Medical Center,800 Washington Street,,Boston,MA,2111.0,(617) 636-5000,,,official_document,42.3492366,-71.06277659999999
Boston Medical Center - Brighton,736 Cambridge Street,,Boston (Brighton),MA,2135.0,(617) 789-3000,,,official_document,42.3486191,-71.14813629999999
Brigham and Women's Faulkner Hospital,1153 Centre Street,,Boston (Jamaica Plain),MA,2130.0,(617) 983-7000,Hospital Services,,official_document,42.3014851,-71.1282337
New England Baptist Hospital,125 Parker Hill Avenue,,Boston (Roxbury),MA,2120.0,(617) 754-5000,Hospital Services,,official_document,42.3287617,-71.1064971
Signature Healthcare Brockton Hospital,680 Centre Street,,Brockton,MA,2302.0,(508) 941-7040,Hospital Services,,official_document,42.0878658,-70.99119569999999
Boston Medical Center - South,235 North Pearl Street,,Brockton,MA,2301.0,(508) 427-3000,,,official_document,42.097376,-71.06091950000001
Lahey Hospital & Medical Center,,,,,,(781) 744-5100,Hospital Services,,official_document,,
Mount Auburn Hospital,330 Mount Auburn Street,,Cambridge,MA,2138.0,(617) 492-3500,Hospital Services,,official_document,42.37387469999999,-71.13452370000002
UMass Memorial- Clinton Hospital,201 Highland Street,,,,,(978) 368-3000,Hospital Services,,official_document,42.2702919,-71.8129975
Emerson Hospital,133 Old Road to Nine Acre Corner,,,,,(978) 369-1400,Hospital Services,,official_document,42.4524902,-71.37618970000001
CHA Everett Hospital,103 Garland Street,,,,,(617) 389-6270,Hospital Services,,official_document,42.4092588,-71.03951590000001
Charlton Memorial Hospital,363 Highland Avenue,,Fall River,MA,2720.0,(508) 679-3131,Hospital Services,,official_document,41.7092572,-71.1446924
Brown Univeristy Health St. Anne's Hospital,795 Middle Street,,Fall River,MA,2721.0,(508) 674-5600,Hospital Services,,official_document,41.6927714,-71.16352069999999
Falmouth Hospital,100 Ter Heun Drive,,,,,(508) 548-5300,Hospital Services,,official_document,41.5643088,-70.62223709999999
MetroWest Medical Center - Framingham Union Hospital,115 Lincoln Street,,Framingham,MA,1701.0,(508) 383-1000,Hospital Services,,official_document,42.2851053,-71.4187426
Heywood Hospital,242 Green Street,,,,,(978) 632-3420,Hospital Services,,official_document,51.5393713,0.032645
Addison Gilbert Hospital,298 Washington Street,,Gloucester,MA,1930.0,(978) 283-4000,Hospital Services,,official_document,42.6252065,-70.68061430000002
Fairview Hospital,29 Lewis Avenue,,,,,(413) 528-8600,Hospital Services,,official_document,52.5880704,-2.0924455
Holyoke Medical Center,575 Beech Street,,Holyoke,MA,1040.0,(413) 534-2500,,,official_document,42.2002198,-72.6280829
Cape Cod Hospital,27 Park Street,,,,,(508) 771-1800,Hospital Services,,official_document,22.5541098,88.351357
Lawrence General Hospital,1 General Street,,Lawrence,MA,1842.0,(978) 683-4000,Hospital Services,,official_document,42.70975869999999,-71.1507002
60 Hospital Road,,,,,,(978) 466-2000,Hospital Services,,official_document,,
Lowell General Hospital,295 Varnum Avenue,,Lowell,MA,1854.0,(978) 937-6000,Hospital Services,,official_document,42.6474806,-71.341613
One Hospital Drive,,,,,,(978) 458-1411,Hospital Services,,official_document,,
Northeast Health System- BayRidge Hospital,60 Granite Street,,Lynn,MA,1904.0,(781) 599-9200,Hospital Services,,official_document,42.47179149999999,-70.9567233
UMass Memorial - Marlborough Hospital,157 Union Street,,Marlborough,MA,1752.0,(508) 481-5000,Hospital Services,,official_document,42.3554494,-71.5549621
Lawrence Memorial Hospital of Medford,170 Governors Ave,,Medford,MA,2155.0,(781) 306-6000,Hospital Services,,official_document,42.4264904,-71.11145259999999
Melrose-Wakefield Hospital,585 Lebanon Street,,,,,(781) 979-3000,Hospital Services,,official_document,42.4604103,-71.0610124
Milford Regional Medical Center,14 Prospect Street,,,,,(508) 473-1190,,,official_document,-37.8180531,145.1173137
Beth Israel Deaconess Hospital - Milton,199 Reedsdale Road,,,,,(617) 696-4600,Hospital Services,,official_document,42.2512176,-71.076887
Nantucket Cottage Hospital,57 Prospect Street,,,,,(508) 825-8100,Hospital Services,,official_document,54.0839188,-0.192717
MetroWest Medical Center - Leonard Morse Hospital,67 Union Street,,Natick,MA,1760.0,(508) 650-7000,Hospital Services,,official_document,42.2807802,-71.3349368
Beth Israel Deaconess Hospital - Needham,148 Chestnut Street,,Needham,MA,2492.0,(781) 453-3000,Hospital Services,,official_document,42.27679819999999,-71.23676
Southcoast Hospitals Group- St. Lukes Hospital,101 Page Street,,New Bedford,MA,2740.0,(508) 997-1515,Hospital Services,,official_document,41.6267538,-70.9387046
Anna Jaques Hospital,25 Highland Avenue,,,,,(978) 463-1000,Hospital Services,,official_document,41.1815986,-80.77973949999999
Newton-Wellesley Hospital,2014 Washington Street,,Newton,MA,2462.0,(617) 243-6000,Hospital Services,,official_document,42.3303536,-71.2445443
71 Hospital Ave,,,,,,(413) 664-5000,Hospital Services,,official_document,,
