name,street_address_1,street_address_2,city_town,state,zipcode,phone,types,website,source
Geiger Gibson Community Health Center,250 Mount Vernon Street,,,,,(617) 288-1140,Primary Care,,official_document
Harvard Street Neighborhood Health Center,632 Blue Hill Avenue,,,,,(617) 825-3400,Primary Care,,official_document
Harvard Street Neighborhood Health Center - Behavioral Health,895 Blue Hill Avenue,,,,,(617) 822-7129,Primary Care,,official_document
HealthFirst Family Care Center,"387 Quarry Street, Suite 100",,Fall River,MA,02723,(508) 679-8111,,,official_document
SSTAR South End Services,1010 South Main Street,,Fall River,MA,02724,(508) 675-1054,,,official_document
Stanley Street Treatment and Resources (SSTAR),386 Stanley Street,,Fall River,MA,02720,(508) 679-5222,,,official_document
Community Health Connections Family Health Center - Fitchburg Community Health Center,326 Nichols Road,,Fitchburg,MA,01420,(978) 878-8100,Primary Care,,official_document
Action Community Health Center,"130 Water Street, Suite 4",,Fitchburg,MA,01420,(978) 878-8100,Primary Care,,official_document
Edward M. Kennedy Community Health Center - Framingham Street - Waverley Street,354 Waverley Street,,Framingham,MA,01702,(508) 270-5700,Primary Care,,official_document
Edward M. Kennedy Community Health Center - Framingham Community Health Center - Concord Street,19 Concord Street,,Framingham,MA,01702,(508) 270-2635,Primary Care,,official_document
Greater Gardner Community Health Center,175 Connors Street,,,,,(978) 410-6100,Primary Care,,official_document
South Gardner Community Health & Urgent Care Center,529 Timpany Boulevard,,,,,(978) 878-8100,,,official_document
CHP Barrington OB/GYN,780 Main Street,,Great Barrington,MA,01230,(413) 528-1470,,,official_document
CHP Dental Center,343 Main Street,,Great Barrington,MA,01230,(413) 528-5565,Dental Care,,official_document
CHP (Community Health Programs) Health Center,444 Stockbridge Road,,,,,(413) 528-8580,Primary Care,,official_document
Ellen Jones Community Dental Center,351 Pleasant Lake Avenue,,Harwich,MA,02645,(508) 778-5400,Dental Care,,official_document
Holyoke Health Center Dental Clinic at Holyoke Soldiers Home,110 Cherry Street,,Holyoke,MA,01040,(413) 532-9475,"Dental Care, Primary Care",,official_document
River Valley Counseling Center,303 Beech Street,,Holyoke,MA,01040,(413) 540-1234,,,official_document
Manet Community Health Center - Hull,180 George Washington Boulevard,,,,,(781) 925-4550,Primary Care,,official_document
Hilltown Community Health Center- Huntington,73 Russell Road,,,,,(413) 667-3009,Primary Care,,official_document
Duffy Health Center,94 Main Street,,,,,(508) 771-9599,Primary Care,,official_document
Duffy Health Center at Lewis Bay Road,3 Lewis Bay Road,,,,,(508) 771-9599,Primary Care,,official_document
Duffy Mobile Health Clinic,105 Park Street,,,,,(508) 771-9599,,,official_document
Harbor Community Health Center - Hyannis,735 Attucks Lane,,,,,(508) 778-5420,Primary Care,,official_document
Greater Lawrence Family Health Center - Winthrop Avenue,73D Winthrop Avenue,,Lawrence,MA,01841,(978) 686-3017,Primary Care,,official_document
Greater Lawrence Family Health Center - Lawrence General Hospital,"1 General Street, Lamprey Building, 4th floor",,Lawrence,MA,01841,(978) 686-3017,"Hospital Services, Primary Care",,official_document
Greater Lawrence Family Health Center - Essex Street,700 Essex Street,,Lawrence,MA,01841,(978) 689-2400,Primary Care,,official_document
CHP Lee Family Practice,11 Quarry Hill Road,,Lee,MA,01238,(413) 243-0536,,,official_document
Leominster Community Health and Urgent Care Center,165 Mill Street,,Leominster,MA,01453,(978) 410-6111,,,official_document
Lowell Community Health Center--Metta Health Center,135 Jackson Street,,Lowell,MA,01852,(978) 937-9700,Primary Care,,official_document
Market Square Family Health,,,,,,(781) 596-3500,,,official_document
Lynn Community Health Center - Buffum Street,"73 Buffum Street, 2nd Floor Suite A",,Lynn,MA,01901,(781) 691-9486,Primary Care,,official_document
South Cove Community Health Center - Malden,277 Commercial Street,,Malden,MA,02148,(781) 912-2500,Primary Care,,official_document
Island Health Care,245 Vineyard Haven Road,,,,,(508) 939-9358,,,official_document
Community Health Center of Cape Cod,107 Commercial Street,,,,,(508) 477-7090,Primary Care,,official_document
Harbor Health Services,1135 Morton Street,,,,,(617) 533-2300,,,official_document
Mattapan Community Health Center,1575 Blue Hill Avenue,,,,,(617) 296-0061,Primary Care,,official_document
Edward M. Kennedy Community Health Center - Milford,"42 Cape Road, Suite 107",,,,,(800) 853-2288,Primary Care,,official_document
71 Hospital Avenue,,,,,,(413) 664-4088,Hospital Services,,official_document
CHP Berkshire Pediatrics,777 North Street,,Pittsfield,MA,01201,(413) 499-8531,Pediatric Care,,official_document
Harbor Community Health Center - Plymouth,,,,,,(508) 778-4570,Primary Care,,official_document
Provincetown Health Center,,,,,,(508) 487-9395,Primary Care,,official_document
South Cove Community Health Center- Holmes Street,88 Holmes Street,,,,,(617) 318-3200,Primary Care,,official_document
Manet Community Health Center - Snug Harbor,9 Bicknell Street,,Quincy,MA,02171,(617) 471-4715,Primary Care,,official_document
Dimock Community Health Center,45 Dimock Street,,,,,(617) 442-8800,Primary Care,,official_document
Whittier Street Health Center,1125 Tremont Street,,,,,(617) 427-1000,Primary Care,,official_document
Ellen Jones Community Dental Center,516 Route 134 Suite 12,,South Dennis,MA,02660,(508) 778-5400,Dental Care,,official_document
Caring Health Center in the South End,1040 Main Street,,Springfield,MA,01103,(413) 739-1100,Primary Care,,official_document
Springfield Health Services for the Homeless,311 State Street,,Springfield,MA,01103,(413) 750-2067,,,official_document
Charles River Community Health Center - Waltham,43 Foundry Street,,Waltham,MA,02452,(781) 693-3800,Primary Care,,official_document
Greater New Bedford Community Health Center - Wareham,127 Marion Road,,Wareham,MA,02571,(774) 678-4673,Primary Care,,official_document
Wellfleet Health Center,"3130 State Highway, Route 6",,,,,(508) 349-3131,Primary Care,,official_document
"Outer Cape Health Services, Inc. - Wellfleet Health Center","3173 State Highway, Route 6",,,,,(508) 349-1311,Primary Care,,official_document
Worcester Lincoln Street,585 Lincoln Street,,Worcester,MA,01605,(508) 854-2122,,,official_document
Edward M. Kennedy Community Health Center - 631 Lincoln Street,631 Lincoln Street,,Worcester,MA,01605,(508) 854-3260,Primary Care,,official_document
Edward M. Kennedy Community Health Center - Norwich Street,11 Norwich Street,,Worcester,MA,01608,(800) 853-2288,Primary Care,,official_document
Family Health Center of Worcester,26 Queen Street,,Worcester,MA,01610,(508) 860-7700,Primary Care,,official_document
Family Health Center of Worcester at Webster Square,645 Park Street,,Worcester,MA,01603,(508) 792-7580,Primary Care,,official_document
Community HealthLink,72 Jaques Avenue,,Worcester,MA,01603,(508) 792-7580,,,official_document
Community HealthLink-Chandler St,162 Chandler Street,,Worcester,MA,01603,(508) 792-7580,,,official_document
Community HealthLink-Queen St,12 Queen Street,,Worcester,MA,01603,(508) 792-7580,,,official_document
Community HealthLink-Spruce St,40 Spruce Street,,Worcester,MA,01603,(508) 792-7580,,,official_document
Hilltown Community Health Center/Worthington Health Center,58 Old North Road,,,,,(413) 238-5511,Primary Care,,official_document
